SERIAL_NR,ID,TITLE,PAGE,SENDER_RAW,ADDRESSEE_RAW,SIGN-OFF,PLACE_OF_WRITING,DATELINE,FOOTNOTE,TEXT,EXCHANGE_RATE,CHAPTER,LANGUAGE,YEAR,DATE_OF_WRITING,DATE_OF_ARRIVAL,DATE_OF_REPLY,SALUTATION,N_WORDS,POSTSCRIPT,BILL
m-d_101,101,TAR COMPANY DIRECTORS to CM,289,TAR COMPANY DIRECTORS,CM,"We await your answer hereon and commend you to the protection of the Lord, &c.",STOCKHOLM,STOCKHOLM 24 JULY 1669,,"Our last was about a week ago. We sent with it the bills of lading for captain Matthys
Boriesen, destined for [London] with 57 3/13 lasts of tar and 20 lasts of pitch; also of captain
Swen Pieters destined for Plymouth with 32 4/13 lasts of tar and 25 lasts of pitch, to which we
refer you. Your letters of 25th past and 2nd inst. have now come to hand, in which we see that
you have given up the two warchouses at Deptford and two others at Blackwall, debiting us
with £24 for their rent, and have leased two others at Blackwall for 3 years at £50 per
annum, of which we have made a note. It is a good thing that you have only hired two for the
moment. Whenever one needs more one can easily find the opportunity.

With the Company ships being unfree exports are going rather poorly, for the little schuits
can take in so little. We sent you a note a week ago about how much had so far been sent to all
places, but a mistake was Padeabene captain Thomas Klerck where he is noted as having
60 lasts of tar and 20 lasts of pitch whereas according to the accompanying bill of lading he
had taken in 27 9/13 lasts of tar and 15 lasts of pitch. Since then we have chartered two others for
[England], that is—captain Erick Anderson Brandt, of the schuit Fortuna, and captain
[blank]. The former will have his cargo aboard within three days and the other, God willing,
will be cleared within eight days, so we hope to send the bills of lading by our next letter. We
are doing our best to obtain further ships and think it not inexpedient to send another 1.000
lasts of pitch and tar as soon as we find shipping for it, wherein we are doing our best and
Missing no opportunity. '

We are unhappy to see that none of our ships have yet arrived. We hope the Lord will have
brought them in safety by now as the wind has been favourable for some time.

We have credited your account with the freight paid to captain Jurgen Kohne as well as
with the gross avarage. We also note that the cargo is sold. When it has been delivered we
shall expect an account as well as our current account at your convenience. For the rest, we
repeat our request of a week ago that you will write to Mr Deutz at Amsterdam that you will
accept for us £2.000 stg. which we will draw on him at 6 months sight and he can draw on you. Meanwhile, before it falls due, nearly all the goods will have been sent out. We await
your answer hereon and commend you to the protection of the Lord, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,24 JULY 1669,21 Aug. 1669,27 Aug. 1669,,476,,
m-d_102,102,J. & D. VAN BAERLE to CM,289,J. & D. VAN BAERLE,CM,"Wherewith our hearty regards, &c. ",AMSTERDAM,AMSTERDAM 27 AUGUST 1669,,"Our last letter was about a week ago; we have since received yours of the 10th and 13th inst.
with 5 bills of exchange, vizt.:
£190 sterling on Jean Gilles & Albertus Pieters;

200 ” on Dirck & Jan Willinck;

£100 ” on Gerrit & Jan Huycken;
£100 ” on Francois Sellier;
£230 ” on Cornelio Berenberch.
We shall procure acceptance of all these and send them back by our next. Concerning the last-
named, people tell us that he is reputed a man of means who can boast of some capital of his
own, but we now understand that for the most part he has nothing in hand but investments in
the East Indies which are only moderately well-administered by his trustee, and as he cannot
draw on it he is obliged to use his credit on the Exchange rather too much.

Herewith goes the second bill of exchange of £114 5s 8d on John Skepper as well as the
receipt for the £85 os 3d stg. paid to Cornelis Claes [senior] and Cornelis Claes, junior, @
358 5g per £ sterling with the deed of guarantee under surety passed before the notary. We
have debited your current account with f-903 5st bank-money for it, in addition to the second
bill of exchange of £250 on Jean Corsellis. Lacking the second bill of exchange of £200 of
6th August on Cornelio Berenberch, whereof the first copy—handed to him for his
acceptance—was lost by him, we beg you to have the second copy sent to us.

Your inclosures for Sweden have been forwarded, and accompanying this are two letters
for you received from there.

Yesterday Peter Simons agreed with his creditors for 40 per cent—vizt. 35 per cent to pay
under bond, halfin cash and the other half in 6 months time; the other 5 per cent to pay on his credit within a year. Wherewith our hearty regards, &c.",London—35s 4g 2 usances.,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,27 AUGUST 1669,21 Aug. 1669,24 Aug. 1669,,320,,
m-d_103,103,W. BROWNE to CM,290,W. BROWNE,CM,"Sir, your loving freinde, &c. ",BRISTOL,BRISTOL 1 SEPTEMBER 1669,1 I.e. the Forest of Dean iron-masters.,"‘Sir, have yours of the 28th past thankeing you for the payment of my 10£ bill to Mrs
Joanes, Your inclosed I have given to skipper Swen Rasmussen as alsoe the bill and letter of
advise on Mr Jean Freyhoff and have received of Mr Anthony Gay on account of his said
freight £129 3s and said Mr Gay hath promised me the other £100 the next weeke which I
suppose he will comply with—he is very responsable. I have all the iron a shore but have as
yett delivered but 1 tun of sqares and that at £14 10s which mony J am to receive tomorrow.
I feare I shall not be able to attaine necre the price you write me for the iron, and besides those
which now deale in that trade cannot pay ready mony for such a parcell being trusted by the
Forrest masters! of iron from 6 months to 6 months. He that deales most in said commodity
and the most responsable man is out of towne and will not be home tell next weeke, and then
shall see what they will doe, but as farr as I can guesse yett they will not come to above
£13 10s or £14 at most for the whole parcell together and for the Ginny iron heere will be
noe vent for it but to the iron mongers, wee from hence having noe trade that way. Be sure what I can advance it in price for you shall be performed by, Sir, your loving freinde, &c.

[P.S.] I thinke the skipper sailes tomorrow morning, and the skipper hath given me up your
Charter party writt in parchment which you may have sent if you please.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1669,1 SEPTEMBER 1669,3 Sep. 1669,4 Sep. 1669,,287,"[P.S.] I thinke the skipper sailes tomorrow morning, and the skipper hath given me up your
Charter party writt in parchment which you may have sent if you please.’",
m-d_104,104,JAN ARNOLD FONCK to CM,291,JAN ARNOLD FONCK,CM,,HAMBURG,HAMBURG 31 AUGUST 1669,,"As far as I know I have never had the honour of writing to you before. This shall therefore
serve to assure you of my keenness to correspond with you. My brother had the honour of
saluting you in [London] about one-and-a-half years ago with my cousin, Dominicus
Juncker, and to inquire if we could establish a regular correspondence between us. I have been
greatly inclined to get a good quantity of Barbados sugar, but only of the finest and best
quality of the sort you provided for my nephew Paul Berenberg. In procuring the purchase
make sure it is at a reasonable price and in the right condition—especially if it reaches 22s or,
at most, 23s. Also Barbados cotton at 4-pence and good Aleppo gall-nuts at 45-46s, as a
friend of mine says he has had, which are likely to be 46s. Please also tell me how much nice,
dry English leather is fetching. Here it is at a very low price and I am sure it can only be at 6d
in [England].

For some time I have been selling a good deal of linen alamodes to the English here, which is
apparently sent to Barbados and the colonies. Please find out in [London] how much a piece
of 70 ells, 7/4 broad, would fetch, a sample of which is here enclosed and which I can have made
in all kinds of fashions. If you also had the opportunity to dispose of about 100 barrels of tin,
of the mark of the Horse, which is the best sort, I could provide it. If you cannot reach
agreement in [London] you could take the tin barrels, which are RD 21 (I say, one and
twenty) free on board, and set against them a delivery of sugars and Barbados cotton (which
must be entirely good) and I shall set against it as much money as the tin is worth and you
could take the commission on both the tin and the sugars. I have arranged to do so with a
friend here and it has worked out well. I would at once send you the 100 barrels of tin and
remit you RD 2.000 which would at least provide for the above-said sugars.

[P.S.] You must expect, since most of my business is with Germany, that I must try to dispose
of commodities coming from there, and on this basis we could co-operate and do important
business together every year. I await your answer and remain, with friendly regards,

&c.

[P.P.S.] If pepper should come down to 8-84d in [London], free on board, then buy me 20
sacks and send them here with the first ship. I shall remit to you at sight, and if it should fall
lower you will know how to look out for my interests, I relying upon you to provide the
[East India] Company’s freshly received goods.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,31 AUGUST 1669,8 Sep. 1669,10 Sep. 1669,,482,"[P.S.] You must expect, since most of my business is with Germany, that I must try to dispose
of commodities coming from there, and on this basis we could co-operate and do important
business together every year. I await your answer and remain, with friendly regards,
&c.
[P.P.S.] If pepper should come down to 8-84d in [London], free on board, then buy me 20
sacks and send them here with the first ship. I shall remit to you at sight, and if it should fall
lower you will know how to look out for my interests, I relying upon you to provide the
[East India] Company’s freshly received goods.",
m-d_105,105,W. BROWNE to CM,291,W. BROWNE,CM,"and this being all for the present, I rest, your humble sarvant, &c.’",BRISTOL,BRISTOL 11 SEPTEMBER 1669,,"‘Sir, I have yours of the oth instant. I hope you have myne by last post in which I sent you up
two bills of Exchange for £150 more, which I hope you will have punctuall comployance in
and that Mr John Gibbs before this hath accepted the first bill for £100 and alsoe the second
for the like sum. I'le assure you I take all the care I can to gett you punctuall and good bills and
shall allwaise use my best endeavours for you but if a losse (which God forbid) should come I
hope you doe not expect that I should make it good. Yesterday last I sould all your iron to Mr
Taylor & Gunter at £13 10s p. tun together, except the 240 barrs which you rated to me at
£15 p.tunand that the same persons have bought att £12 10s p. tun, and to pay for it }at the
end of 3 monthes and the other moiety at the end of the three months after the first pay-ment,
and on Munday they begin to way it which as soone as wayed and the accompts ajusted they
will give me notes of theyr hands for each man for his part alone, but one will not be oblidged
for the other though I thinke they are both very responsable. Now My Taylor sayth if I please
he will pay me the 1/2 of his share presantly provided I will stay 9 monthes for the other pay-
ment to which plese to give your answere. Heere is 20 tuns of Dutch iron more come in this
weeke and 30 tuns more expected by Mr Charles Williams daily. Mr Anthony Gay sould his
parcell as I am credably informed at £12 p. tun and for tyme too. I cannot tell how you may
like this sale but I have tryed to the utmost of my skill would give me leave and could not
advance it. Your squares were much more vendible then the rest especialy had they beene a
little smaller. Sir, if you finde good to be done about this price and that you will order for
such sortes as I shall give you orders for I may dispose for you a considerable quantity in the
yeare. Pray advise if you deale in iron rods and how much they may be afforded heere p. tun; alsoe iron potts, frying pans, white plats and steele, and this being all for the present, I rest,
your humble sarvant, &c.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1669,11 SEPTEMBER 1669,13 Sep. 1669,18 Sep. 1669,,420,,
m-d_106,106,A. REENSTIERNA to CM,292,A. REENSTIERNA,CM,"God protect each and all from misfortune, &c. ",STOCKHOLM,STOCKHOLM 28 AUGUST 1669,"1 The steel actually sold for £161 gross, £119 18s 9d net.
2 ‘Engelse goedingh stangh iser’.","The foregoing, dated the 21st past, is a copy of my last letter, to which I refer you. I have since
received yours of the 25th and 29th of June, and 9th and 30th of July, the contents of which
are fully understood and to which the answer shortly follows herewith.

I have received the account of the iron sold from the Fortuyn and found it correct. I have
debited you with the proceeds, £325 11s 6d and credited you with the RD 140 from my
lord Pistolhielm at 4s 9d each, being £33 5s. The idea that I should be paid here at the rate of
5s 6d is a mistake, for they can be got for no more than 5 10/32. [d.c.m.]

I have seen what you write about the price of iron and other things, and it is annoying that
some dealers should undersell by offering it at £14 per ton on delivery. They achieve nothing
but loss by doing so as they have bought it dearly here. I hope it remains at a good price so
that one will continue to want to send it. I expect to hear in due course.

With regard to what you write about charges on the iron I send to you, you are to
understand it as we have done formerly, namely that for whatever expenditure you incur you
can take interest, and if any losses should occur—which God forbid! it is well-insured and
you will recover your outlay from those gentlemen who have drawn on you for my account,
so you run no risk and there is no need for you to make difficulties. It seems to me rather
strange, what you say you have written to Messrs Van Baerlc, that they should not draw on
you before the ship has reached [London]. If they are to fulfil my drafts on them they must be
able to draw RD 2.500 on you. My request is that you will allow them to draw as much on
youas the proceeds approximately come to, though deducting what you may have advanced
for me already according to the accompanying account. And as regards what has happened, I
have looked into it and find that when the 158 barrels of steel were estimated to be worth
£160(1) you were already about £340 out of pocket. Please let Messrs Van Baerle have any
proceeds arising in excess of that amount. I depend on that as I have charged them with my
drafts and will draw accordingly on future deliveries.

Here inclosed I send 3 bills of lading of iron laden for my account in the ship Mars, captain
Hans Johanson, together amounting to Slb. 872.10, including various sorts of ‘English-style’2
bar-iron and Slb. 117.15.10 of forged band-iron. NB that in future it must be sold at higher
prices, as I have written to you before and to which I refer you. Herewith also is a bill of
lading from Capt. Hendrick Claessen Boender for Slb. 305.15.10 of ‘English-style’ bar iron,
all of which I am consigning to you, and I have another batch which will follow. In selling it I
urge you to have as much regard for my profit as if it were your own: I depend upon it.

I have read what you tell me about Peter Simons and am surprised that you did not write
to meat once about what you let him draw on you. I never thought his affairs would turn out
so badly, and as for me being indebted to him for f.8.00o—I can prove the contrary as he
owes me for Portuguese drafts, so I do not know how I can help you. I do not doubt that he
will try to satisfy you in full, as he has written to me, only you must enter into the agreement with him. God protect each and all from misfortune, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,28 AUGUST 1669,17 Sep. 1669,24 Sep. 1669,,651,,
m-d_107,107,D. VAN RUYFF to CM,293,D. VAN RUYFF,CM,"Thank you for the accommodation, with my regards, &c.",STOCKHOLM,STOCKHOLM 28 AUGUST 1669,,"My last letter to you was on the 31st past, with the bill of lading for 4.239 bars of iron,
weighing Slb. 455.5 on Capt. Jacob Grys, which I hope will have arrived before the receipt of
this. I have now got yours of the 23rd and 30th past and of the 3rd inst. in which I am
delighted to see the safe arrival of Capt. Pieter Klunder. I hope to learn by your next that the
said iron has found a good market, as well as the iron in the St Anna, You will do well to sell it
as soon as possible as there are large amounts being loaded here now for [England].

Regarding the insurance, I find that one can get it cheaper in [London] than in Amsterdam,
but against that one must lose 14 per cent in London in the event ofa misfortune. Mr Van de
Mortel informs me that the insurers will only make good f.130 for avarage on the Fortuyn,
though it should very nearly recompense the loss. I have credited you with £592 18s 4d stg. which you have remitted to Mr Philip Pelt Emanuels. Thank you for the accommodation,
with my regards, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,28 AUGUST 1669,20 Sep. 1669,24 Sep. 1669,,201,,
m-d_108,108,B. NEWLAND to CM,293,B. NEWLAND,CM,I sallut you and rest.,ISLE OF WIGHT,ISLE OF WIGHT 22 SEPTEMBER 1669,"included provisions for borrowing at interest on the credit of of parliamentary guarantees and for the registration 'in
course’ of other government liabilities, notably to Naval supplier such as Newland who were owed considerable
arrears. Under this arrangement Newland held Treasury Orders Nos. 1216 and 1217, assignable instruments
which entitled him (or his assigns) to repayment when sufficient funds had reached the Excheque. The Treasury
gave notice in The London Gazette when Orders had reached maturity and were ready for settlement.
1 18 & 19 Car. II. c. 13 granted Charles II £1,256,347 13s in eleven monthly levies of £114,213. The Act","‘Sir, I have yours 18 present and ordered severall sumes to be remitted you out of the country
on my account. What comes with that £50 pray receive. I did much admire my
£1.177 2s 9d on the Eleaven monthes tax(1) was not come in, and did feare you might not
order your man to call, soe it is that I am advised by a friende which had occasion to search
about some money of his owne that the 1216 and 1217 order assigned to you by Wade
through my order have beene readie to be paid more then this two monthes. He tells me
exactly £1.177 2s 9d uppon those two orders are in banck and have beene soe rede since the
10 July last, and that you may fetch the money when you please, and in truth hath beene
much dammage to me its not received depending it would have beene readie before that
time. I pray omitt noe time but on receipt of this sende your man for the money and place it
to my credit giveing me due notice thereof, and now I will loock over your accounts and
wright the needefull in answer to them and keepe busnesse exact. I drew uppon you
 25 12s 8d payable to Mr Thomas Papillon or order: pray discharge the same. I sallut you
and rest.

[P.S.] Pray loose not an houres time in receiving those £1.177 2s 9d. It hath been exceeding
great dammage and prejudice was not done all this time. The prejudice to me is greate. Pray
loose noe time more for your servant, &c.

[Margin.] About the bill of Pollea, it was Mr Rogers advised me he was at Dover. I hope I
shall not loose that 10 £.. If you do occasion to wright Mr Rogers put two lines in my behalf.

[Verso.] Pray give me your advice what I may doe about the bill of bottomry for £50 at 30s
p. month of Richard Butler which is in your hands. The shipp was putt into Barbados in her
voidge to Virginia, fitted thence and trades twixt Virginia and New England. Now when is
the money due one the bill, and what may I doe about recovering it. Mr Butler wrights me
gave you Copie of a wrighting about some gunes for which having met with base factors I
must content my selfe with 15. Pray sende me the wrighting.’”",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1669,22 SEPTEMBER 1669,27 Sep. 1669,30 Sep. 1669,,406,"[P.S.] Pray loose not an houres time in receiving those £1.177 2s 9d. It hath been exceeding
great dammage and prejudice was not done all this time. The prejudice to me is greate. Pray
loose noe time more for your servant, &c.
[Margin.] About the bill of Pollea, it was Mr Rogers advised me he was at Dover. I hope I
shall not loose that 10 £.. If you do occasion to wright Mr Rogers put two lines in my behalf.
[Verso.] Pray give me your advice what I may doe about the bill of bottomry for £50 at 30s
p. month of Richard Butler which is in your hands. The shipp was putt into Barbados in her
voidge to Virginia, fitted thence and trades twixt Virginia and New England. Now when is
the money due one the bill, and what may I doe about recovering it. Mr Butler wrights me
gave you Copie of a wrighting about some gunes for which having met with base factors I
must content my selfe with 15. Pray sende me the wrighting.’”",
m-d_109,109,A. REENSTIERNA to CM,294,A. REENSTIERNA,CM,"I wish that from my heart and commend you to God’s protection, &c. ",STOCKHOLM,STOCKHOLM 15 SEPTEMBER 1669,1 'Ick en hadde niet gehoopt datter soo subitelyck de claedde ingekoomen syn soude . . .’,"We are, God be praised, at the 15th of September; the above, of the [2]8th past is a copy of my
latest letter to you, to which I refer. Since then I have received yours of the 6th [past] the
contents of which I have seen and to which in answer say it is very bad news that iron is
beginning to fall, especially as such large amounts have been sent to [London]. I had hoped
that the undercutters would not have moved in so suddenly.(1) It is much to be wished that this
trade could be brought into a few hands and by that means preserve its reputation. You will
know how to seek the most advantage for my consignments, which remain commended to
your care.

As the prospect of bringing some timber to [England] in foreign-built ships and getting
passes for them has faded for the moment, we must let it pass until a better opportunity arises.
I have still about 800 to 1.000 shippounds of iron standing ready which I intend to send in the
ship Jupiter unless some other shipping turns up so that I can divide the consignment, but I
very much hope that it will obtain a better price. At the present price I think it advisable to be
careful with my consignment and wait for some improvement. Then, I beg you, let the
Messrs Van Baerle have what they need for my account. I am of the opinion that iron will not
remain at such a low price, and would also be glad to know your views.

Herewith goes the bill of lading of Hendrick Claessen Boender which I forgot to insert in
the foregoing.

Let the Messrs Van Baerle have as much as the iron proceeds amount to, and I will make
good the interest on what you advance. The ship Mars is lying in harbour here and will sail
out with the first good wind—may God protect him.

I have seen what you say about Mr Peter Simons and I am very sorry that it is so. There is
little to be done with a procuration as, so far as I know, he has scarcely any effects here, and to
set against those I must have my protested Portuguese bills of exchange so they will amount
to very little. I wish you had sent to me in April or May—I would have been able to do
something but it is too late now and I must hope that he, Simons, will take good care to satisfy you. I wish that from my heart and commend you to God’s protection, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,15 SEPTEMBER 1669,4 Oct 1669,8 Oct. 1669,,439,,
m-d_110,110,P. CAULIER to CM,295,P. CAULIER,CM,In haest I rest.’ ,YARMOUTH,YARMOUTH 11 OCTOBER 1669,1 Marginal insertion.,"‘Sir, I have yours of the 7th ditto, to which I repley. Mr Muns was dissatisfied in the tayle of
the lead soe I caused my porter to tel it over in his presents and there is but 355 pieces soe he is
inclinable to alow me for the 2 pieces, but pray tel me at what price—I supose about £12 per
tun. I shal doe there in as for my self. I see the price you offer [?] of iron, flat and broad
£13 tos and square £14 tos, to which I say our smiths wil not come to thos prisses. They
have it from Holland more resonnabel and 6 months tyme with it. I should nead some 30 tuns
for my owne occation if the ship come in tyme, if you could let me have it at £13 5s or
£13 10s at most, 6 months, as the last was. I canot aford to give more, the comodity is soe
abroad. Its chiefly for ballast; or if you thinke fitt to propos me a price in generall for all iron,
pitch and tar you send me yearly, free me from al charges to you, I shal see if we can agree.
That is to say, I to pay al custome, wharfage, warhouse roum, coopers, porters, town dutys, a
broker [?] and provision also included. It may be as wel for you and as wel for me. I may save
something in the towne dutys, being a freeman of this place. Pray consider of it and [resolve
to goe neare the wind with me as possible you ¢ an]! for accomodation I supose you wil give
me 6 to 8 months tyme, and soe you shal be sure to maik noe bad debpts, for I find that if I
continu this trade I must be fayne to buyld me a storhouse aporpos, for the tar spoyles all the
houses it comes into and except your frinds send me good cask, better than the last, I had
rather be without that commodity than have it. My warhous in which the last tar lys is all afloot of the tar. This is all at present. In haest I rest.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1669,11 OCTOBER 1669,15 Oct. 1669,16 Oct. 1669,,368,,
m-d_111,111,J. [MOMMA] REENSTIERNA to CM,295,J. [MOMMA] REENSTIERNA,CM,"wherewith my regards, &c. ",NORRKÖPING,NORRKÖPING 24 SEPTEMBER 1669,,"My last letter to you was on the 27th of August with which I informed you that I would
make good interest on the £200 stg. which you advanced for my account to Mr Burckin on
bottomry. For the rest, I refer you to my letter. I have since received your very welcome
letters of the 20th and 27th past as well as of the 3rd inst., of which the last two were received
together about two days ago. The answer briefly follows. I shall take them one with the other
and after looking over the current account let you know my findings by next—God willing.
I have noted what goods of mine still remain with you unsold and hope they will also quickly
find buyers like the rest.

It is possible that if shipping-space turns up this autumn I shall send you an assortment of
thicker wire, but since the departure of Capt. Abraham Richart no opportunity of freighting
to [London] has occurred.

I was very glad to learn of Richart’s safe arrival—God be praised! I have further seen what
you say concerning your friend who wants to do business about a consignment of copper,
and that he has offered to take 600 ‘Hungary plates’ and has at last gone so far as to offer
£5 18s payable on delivery be the end of November. You should have learned from
previous letters that I really cannot oblige by sending any quantity of copper to [England] this
year—partly for lack of shipping and partly (and principally) because copper has recently
become so tight and scarce here that it can hardly be got for money. But if your friend will
wait for a consignment to be sent with the first available ships going to [London] from here in
the new year, and if you could persuade your friend to pay you the money now, I would
agree to the price of £5 18s—for your guidance.

My friend, because I have bought these large copper-works I must necessarily take care to
keep my people fully employed, but I have no resources to enable me to supply the
[‘Hungary’] plates unless I can command money at Hamburg. If you will accommodate me
with some money at 6 per cent interest I would probably be able to send you more supplies.
Whether the business of the plates goes forward or not, and as you now have all the Swedish
copper-wire under your hand, I hope you will fix the price rather higher than it has been—I depend on it. I urge you to sell the thick copper-wire rods; wherewith my regards, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,24 SEPTEMBER 1669,19 Oct. 1669,22 Oct. 1669,,438,,
m-d_112,112,J. & D. VAN BAERLE to CM,296,J. & D. VAN BAERLE,CM,"wherewith our heartiest regards, &c.",AMSTERDAM,AMSTERDAM 15 OCTOBER 1669,"1 This reading is tentative.
2 ‘tot manufacturen en andre stoffen…'","We have received your letters of the 24th and 28th September and 1st instant. In reply, we
will tell you in our next how much the remittance of RD 500 current-money amounts to in
bank-money. We have been paid the £100 stg. at 355 11g drawn on John Lodge, and have
credited your account.

We are sorry to see that you are in dispute with the Västervik Ship Company. Our friend
at Rotterdam wrote us on the rith instant that he has sold another four 6-pounder cannon at
[f]8: 15(1) on the same terms as the last, and as the guns are old and inferior we consider he has
done well. However, we have since then written to him to hold back from selling fora while,

We have taken expert advice about the sample of cotton but find that it is too coarse for
East Indian yarn and most resembles yarn from the Straits, of which there is at present a
reasonable amount in town. The yarn sold by our East India Company is fine, like the
accompanying sample, and sells at 28 to 27 s[tuivers] per lb. That which was sold at 16 1/2st was
badly made up and as a result it fetched less than others just as fine. But we judge that cotton
yarn which is no coarser than your sample should sell for 16 st per lb., and you will please note
that the finest are the most sought after. Such yarn is mostly used at Haarlem for textiles and
other stuffs,(?) and because little has arrived here this year from the East Indies we believe it
would not do badly if you could find something finer—or certainly not coarser-—than the
sample you sent.

We see that the price of copper-wire has risen somewhat and is likely to continue to do so
as little has been sent to London. We have noted how much of J. R[eenstierna]’s wire has been
sold, and we hope you will soon be able to close the account of W.M[omma]’s copper-wire.
We have procured the necessary acceptance of the £935 12s 2d stg which you remitted to us
in ten bills of exchange for my Lord Jacob Reenstierna’s account and he has been informed of
it.

You wrote to us about remittances being made against A. Reenstierna’s iron on its arrival
or earlier: as against the iron in Jacob Giese you have remitted £1.000, since which have
arrived Jacob Jacobsen Grys with Slb. 152.14 and Claes Molt with Slb. 636.17, against which
nothing has been remitted. Your next letters will possibly inform us further.

Peter Simons is lying sick in bed. As his settlement has not yet been signed by as many
creditors as are required for it to take effect we suggest that you demand his guarantee in case
the remaining creditors refuse to sign and he is released from his obligations. What happens
next only time will tell.

As you ordered us not to hurry with remittances we shall return your accepted bills of
exchange of £100 on Jean de Roy and £200 on Roelandt Cockey with our next—
wherewith our heartiest regards, &c.","Hamburg: 32 5/16 at sight.
London: 35s 2 1/2g  2 usances.",A. LETTERS TO CHARLES MARESCOE,DUTCH,1669,15 OCTOBER 1669,19 Oct. 1669,22 Oct. 1669,,525,,
m-d_113,113,P. CAULIER to CM,297,P. CAULIER,CM,,YARMOUTH,YARMOUTH 18 OCTOBER 1669,,"‘Sir, For answer to yours of the 16th courant I say that Mr Muns has not since my last byn
with me to adjust his bisnes, but I purpos to preserve your interest in the lead as my one and
shal doe with him when he comes the best I can. And as to the bisnes of the ship St Gorge from
Colmer, if she comes heare I shal arrest her and the master and purser as you order.

As to the proposition I made you consirning pitch and tar and iron, I say that as to the
quantity I say 150 last tar and 20 or 30 last pitch wil be enof, and 60 tun iron, the first ship to
be heare in May and the last in September, and as to the price I leave that to you to propos. I
conseave its proper for you to make your demands. You may essely see the charge by the
accounts I sent you and thereby mack an estimate. Now if you plese to consider that I profit
to become your debptor for the hole that you send and that you wil for future run noe risks
but be ponctially complied with at the tyme we agree for I thinck it wil be to your intrest to
be at asurtainty, If therefore you plese to consider the hole and to pitch me aprice resonnabel
both that it may be worth my trobel and paynes and cost, you shal soune have my answer.

[P.S.] The reson that I mack you this proposition to be at a sertainty is because that I have
often occation myself to fil up my ships that goe to the southward with thos goods for ballast
and being in my own hands I can then dispos of it as I please. It is not for the great profit it
turnes to but for the acomodation of my conveniency, and if I did not vent great part of it my
self it is not the 5 the quantity could be disposed of here by any man but my self. I leave it to
your consideration and rest.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1669,18 OCTOBER 1669,20 Oct. 1669,28 Oct. 1669,,359,"[P.S.] The reson that I mack you this proposition to be at a sertainty is because that I have
often occation myself to fil up my ships that goe to the southward with thos goods for ballast
and being in my own hands I can then dispos of it as I please. It is not for the great profit it
turnes to but for the acomodation of my conveniency, and if I did not vent great part of it my
self it is not the 5 the quantity could be disposed of here by any man but my self. I leave it to
your consideration and rest.’",
