NR	SENDER	ADDRESSEE	SENDER-ADDRESSEE_PAIRS	DATE	YEAR	LANGUAGE	GENDER_SENDER	GENDER_ADDRESSEE	GENDER_PAIR	CONNECTION_TYPE	GENERATION_SENDER	GENERATION_ADDRESSEE	SENDER_IS_OLDER	SENDER_OVER_40	ADDRESSEE_OVER_40	AGE_GAP_OVER_20	AGE_GAP	PAGE	LENGTH	TOKEN_ID	REL_TOKEN_POS	QUERY	LEFT	HIT	RIGHT
m-d_12	EGIDIO RULAND	CHARLES MARESCOE	"EGIDIO RULAND", "CHARLES MARESCOE"	21 APRIL 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CLIENT	UNK	1633	UNK	UNK	UNK	UNK		228	383	m-d_12.380_380	99.22	god	is too much money and too burdensome. [......].(1) If the ships bring any tamarind to [London], I shall be glad to hear, and with cordial regards I commend you to	God’s	protection,
m-d_14	ROBERT OURSEL	CHARLES MARESCOE	"ROBERT OURSEL", "CHARLES MARESCOE"	16 MAY 1668		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	1634	1633	FALSE	UNK	UNK	FALSE	1	229	554	m-d_14.373_373	67.33	dieu	car on en attend encor grosse partie de West England, quy le fera encor diminuer n’y ayant point ou peu de consomption en cette marchandise. Diricq Roys est, graces a	Dieu,	bien arrivé devant cette ville. Je tacheray de faire decharger vos 18 pieces d’estain et ne les vendray jusqu’a autre ordre sy ce n’est que j’en puisse obtenir 70 livres,
m-d_18	STEVEN DE GEER	CHARLES MARESCOE	"STEVEN DE GEER", "CHARLES MARESCOE"	22 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1629	1633	TRUE	UNK	UNK	FALSE	4	233	434	m-d_18.299_299	68.89	lord	more than 2.000,000 lb. of sugar has been destroyed by fire on Barbados and that few houses have been damaged. I hope it is not really so bad: may the	Lord	grant consolation for such a heavy affliction. Herewith I remit you £221 5s@ 34s 10¢ for your account. I have not yet had the account from Reval, but that can
m-d_19	UPTON & BATHURST	CHARLES MARESCOE	"UPTON & BATHURST", "CHARLES MARESCOE"	19 JUNE 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; AGENT	MULT	1633	MULT	MULT	UNK	UNK		234	578	m-d_19.262_262	45.33	god	this Citty and shall do you the best service wee are able in their disposall; and wee have also by this day’s post reccived advice from Mr Paul and Peeter	Godin	of Amsterdam to have consigned us for your account 86 pieces of palomettes per the Seaven Provinces which wee thinke is arived in company of the Dutch convoy that came
m-d_19	UPTON & BATHURST	CHARLES MARESCOE	"UPTON & BATHURST", "CHARLES MARESCOE"	19 JUNE 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; AGENT	MULT	1633	MULT	MULT	UNK	UNK		234	578	m-d_19.377_377	65.22	god	remaining unsould, haveing these days putt off some quantety for the shipps designed for New Spaine who will be ready to goe on their voyage in 14 days, and then,	God	willing, wee shall draw out your account of all former parcells and hope may fully cleare them. All your Bow-dyed serges are sould and the mixt serges. We shall very
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.166_166	12.06	god	the St Peter and the captain is Matthys Meyer. I have consigned her lading to you for my account as you will see from the enclosed bill of lading. May	God	protect her and bring her in safety! I rely on you to do your best to sell the goods. Among them are two bundles of band- iron, hammered not drawn,
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.298_298	21.66	god	as many ships as you suggest is hardly advisable as freight-rates are too high. However, I shall see what I can do. We are expecting two salt-ships at Gotland (may	God	bring them safely) and they will then be sent to [London] with timber. Meanwhile, keep me informed about what is happening to this commodity in [London]. Isce that you have
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.598_598	43.46	god	do. My brother Jacob is in Gotland at present and has a ship-builder with him as we are thinking of having some fluyt-ships built there—so with wood and timber-ware may	God	grant us fortune and His blessing! Meanwhile, keep me always informed about what is happening in [London] concerning timber-ware. I am glad to see that small-iron is now sought after
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.790_790	57.41	god	way, for which we will be most grateful. I have not been able to get the schuit ready for use sooner, otherwise it would have left for [England] by now.	God	protect him and bring him in safety—and then I hope something may be achieved this summer, as time will tell. I have loaded for my account in the Deensche Pheenix,
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.969_969	70.42	god	we will be most grateful. I have ordered these goods, as well as those in the schuit, St Peter to be insured by Peter Simons in Amsterdam. I hope to	God	the premium will be justified. Since I have charged him with some bills of exchange which are going to fall due soon, I have written to tell him to correspond
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.1019_1019	74.06	god	fall due soon, I have written to tell him to correspond with you and to draw on you for my account; and if some misfortune should overtake the goods (which	God	forbid!) you could draw on him in return as he will have had them insured. And I would like you to allow Mr Simons to draw on you nine or
m-d_21	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	24 JUNE 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	235	1376	m-d_21.1122_1122	81.54	god	brother Jacob have been received in his absence, and —following his instructions—I have opened them and read their contents. I am delighted to see that Capt. Erick Erickson has arrived.	God	be thanked for his blessings! As to the money you have advanced on his goods—he will gladly make it good, regarding $ per cent per month interest as cheap. It
m-d_28	ROBERT OURSEL	CHARLES MARESCOE	"ROBERT OURSEL", "CHARLES MARESCOE"	1 SEPTEMBER 1668		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	1634	1633	FALSE	UNK	UNK	FALSE	1	241	457	m-d_28.98_98	21.44	dieu	a la campagne, non pas mesme que les paysans nous viennent rien aporter—sy bien que cela continuant il ny a point d’esperance de vendre aucune sorte de marchandise de longtemps.	Dieu	vueille nous en delivrer par sa grace. Le mal n’est pas considerable mais le bruit en est grand, d’autant que noz magistrats par leur exactitude ont pensé couper pied au
m-d_28	ROBERT OURSEL	CHARLES MARESCOE	"ROBERT OURSEL", "CHARLES MARESCOE"	1 SEPTEMBER 1668		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	1634	1633	FALSE	UNK	UNK	FALSE	1	241	457	m-d_28.142_142	31.07	dieu	le bruit en est grand, d’autant que noz magistrats par leur exactitude ont pensé couper pied au mal, mais les inventions des hommes ne sont rien sans la benediction de	dieu.	C’est luy quy est le grand medecin auquel faut avoir recours et le prier de nous pardonner noz peches quy en sont cause. Tant que nous serons afflige de contagion
m-d_29	PAUL BERENBERG (SR.)	CHARLES MARESCOE	"PAUL BERENBERG (SR.)", "CHARLES MARESCOE"	8 AUGUST 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CLIENT	UNK	1633	UNK	UNK	UNK	UNK		242	325	m-d_29.321_321	98.77	god	Of your myrrh I sold 1 barrel yesterday for 10s per lb.? I shall try to dispose of the rest also, but the stuff turns out to be very bad.	God	bless you,
m-d_32	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	22 AUGUST 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		244	496	m-d_32.96_96	19.35	lord	Johansen’s and Capt. Andries Jacobsen’s cargoes of pitch and tar consigned to you. Their ships are still lying here off-shore but will depart with the first good wind, May the	Lord	protect them! Herein we send the bills of lading for Jolle T'Jerdts and Jacob Jacobsen Grys, also consigned to you, the first of which having 52 lasts 8 tuns of
m-d_32	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	22 AUGUST 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		244	496	m-d_32.149_149	30.04	lord	of which having 52 lasts 8 tuns of tar and 17 lasts of pitch, the other having 73 lasts 11 tuns of tar and 20 lasts of pitch. May the	Lord	guide them also! Captains Elias Johansen and Hans Johansen have also been chartered: the first is now loading and the other will begin shortly. We had written this far when
m-d_32	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	22 AUGUST 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		244	496	m-d_32.446_446	89.92	lord	to correspond with Mr Simons about this as we said in the copy above. Meanwhile we are very glad to hear of the arrival of Capt. Hans Tennissen: may the	Lord	God be thanked who with His gracious help may have since brought the others in safety, as they followed him shortly after. We expect to hear soon. If we are
m-d_32	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	22 AUGUST 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		244	496	m-d_32.447_447	90.12	god	correspond with Mr Simons about this as we said in the copy above. Meanwhile we are very glad to hear of the arrival of Capt. Hans Tennissen: may the Lord	God	be thanked who with His gracious help may have since brought the others in safety, as they followed him shortly after. We expect to hear soon. If we are going
m-d_36	JAN VAN SAVELANT	CHARLES MARESCOE	"JAN VAN SAVELANT", "CHARLES MARESCOE"	14 SEPTEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1603	1633	TRUE	UNK	UNK	TRUE	30	246	376	m-d_36.364_364	96.81	god	experienced and good seaman to whom one may safely entrust a ship. It is a good thing he is now free from Cuttler, who must be an unscrupulous person. May	God	protect me from the like! Once more, greetings, God’s blessing,
m-d_36	JAN VAN SAVELANT	CHARLES MARESCOE	"JAN VAN SAVELANT", "CHARLES MARESCOE"	14 SEPTEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1603	1633	TRUE	UNK	UNK	TRUE	30	246	376	m-d_36.373_373	99.2	god	entrust a ship. It is a good thing he is now free from Cuttler, who must be an unscrupulous person. May God protect me from the like! Once more, greetings,	God’s	blessing,
m-d_37	CORNELIUS BERENBERG	CHARLES MARESCOE	"CORNELIUS BERENBERG", "CHARLES MARESCOE"	12 OCTOBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CLIENT	UNK	1633	UNK	UNK	UNK	UNK		246	505	m-d_37.477_477	94.46	god	the price, and please mention how much the enclosed sample of indigo would fetch in [England]. If there is anything in which I can be of service, please command me—with	God’s	blessing, &c. [P.S.] This sample is refined camphor, only I have ground it up in order to enclose it: otherwise it comes in lumps, for your
m-d_38	ADAM RADUE	CHARLES MARESCOE	"ADAM RADUE", "CHARLES MARESCOE"	19 SEPTEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	UNK	1633	UNK	UNK	UNK	UNK		247	536	m-d_38.29_29	5.41	god	Sir, I have received your very welcome letter of the 14th of August, from which I am glad to learn of your good health. As for me, I thank	God	I am well. I see that you and Mr Hendrick Thuen drank my health in a glass of wine: thank you for your kind remembrance of me, and as soon
m-d_40	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	14 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	248	255	m-d_40.19_19	7.45	lord	‘Honored friend, I was this morning at Court with my Memorial and when I was recommending it to My	Lord	Privy Seal,* he immediately told me that it was to no purpose to deliver it over to the Lords Commissioners to expect their resolution on it, for they could not
m-d_40	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	14 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	248	255	m-d_40.38_38	14.9	lord	with my Memorial and when I was recommending it to My Lord Privy Seal,* he immediately told me that it was to no purpose to deliver it over to the	Lords	Commissioners to expect their resolution on it, for they could not [move?] absolutely in it, after that the King and Councell had given once his resolution to the contrary. And
m-d_40	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	14 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	248	255	m-d_40.232_232	90.98	dieu	a day or 2 rather then to spoile the whole business by too great an importunity. I will be with you tomorrow upon the Exchange and speake further with you.	Adieu.	[P.S.] I intreat you to send me the remnant of your promise. My man hath a generall quittance under my owne
m-d_42	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	[UNDATED]		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	249	324	m-d_42.201_201	62.04	lord	de m’en plaindre devant le Roy. Il m’a repondu la dessus que ce n’eut pas ete necessaire, et que j’eusse mieux fait si je m’eusse adresse a luy ou a	Lord	Mayor, et encore dis je que Mons. Marescoe m’en a prie d’en parler premierement au Lord Mayor, je n’ay pas pu faire, par ce que les ordres de mon Maistre
m-d_42	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	[UNDATED]		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	249	324	m-d_42.217_217	66.98	lord	necessaire, et que j’eusse mieux fait si je m’eusse adresse a luy ou a Lord Mayor, et encore dis je que Mons. Marescoe m’en a prie d’en parler premierement au	Lord	Mayor, je n’ay pas pu faire, par ce que les ordres de mon Maistre estoit pour en parler au Roy. Il me dit la dessus que si je vouloir luy
m-d_43	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	24 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	249	198	m-d_43.34_34	17.17	lord	Swedish ships was the last and the only privat bussines whaich was taken in consideracon and would not have been done this day, it being almost 8 a clok before	Lord	Maire and the Aldermen went from Whitehall, had I not delivered the King himself my Memoriall at his going into the Councill Chamber. And although it had for this night
m-d_44	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	29 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	250	198	m-d_44.53_53	26.77	lord	unloade. It is impossibel, and I can not write what a great deal of troubles I have taken therein. The King had a dessin to favorise us therein but my	Lord	Ashly (1) and others of his humor remonstrated the King all the inconveniencies that would proceed from it that the King was forced to yield to them. In case the
m-d_44	JOHN BARCKMAN LEYONBERGH	CHARLES MARESCOE	"JOHN BARCKMAN LEYONBERGH", "CHARLES MARESCOE"	29 OCTOBER 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	250	198	m-d_44.196_196	98.99	dieu	any other meanes for to make the Court sensibel of its wants. I shall as yet doe what I can, but deare no more assure me of a good issue,	Adieu.	
m-d_45	JAN VAN SAVELANT	CHARLES MARESCOE	"JAN VAN SAVELANT", "CHARLES MARESCOE"	19 OCTOBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1603	1633	TRUE	UNK	UNK	TRUE	30	250	298	m-d_45.296_296	99.33	god	shall let him read what you say about Beckman and send an answer in due course. Please remit to Bex anything you have in cash on my account. Once more,	God’s	
m-d_46	PETER SIMONS	CHARLES MARESCOE	"PETER SIMONS", "CHARLES MARESCOE"	13 NOVEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	UNK	1633	UNK	UNK	UNK	UNK		251	322	m-d_46.272_272	84.47	god	request you to hand on these enclosures to the captains. For some days I have been lying in a fever so I have been unable to write myself. However, with	God’s	help I hope to be well soon, although I am still very weak. Wherewith, &c. [P.S.] Herewith is the bill oflading of Slb. 174.13.10 of iron which Mr Abraham Momma
m-d_50	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	24 OCTOBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		253	632	m-d_50.75_75	11.87	god	with the insurers to pay 70 per cent, payable by the 26th of November. That is good news, and we shall expect from you a brief account of the settlement.	God	be praised for the safe arrival of Alexander Davidson, though it is to be feared that none of the others has yet come to shelter. However, we hope they have
m-d_50	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	24 OCTOBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		253	632	m-d_50.131_131	20.73	lord	However, we hope they have appeared by the time you receive this. You say that you see no chance of ships bought in Holland being granted freedom, since the Resident,	Lord	Leyonbergh, put in a memorial to the King’s Council about it and got the answer that the laws of the land had to be obeyed. Nevertheless it is to be
m-d_50	TAR COMPANY DIRECTORS	CHARLES MARESCOE	"TAR COMPANY DIRECTORS", "CHARLES MARESCOE"	24 OCTOBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		253	632	m-d_50.553_553	87.5	lord	but we had not intended to burden you before the arrival of the ships. You will have learned from our previous letters that we have been unable to find the	Lord	Treasurer? at home in order to present him with your bill of exchange. By our next we hope to be able to tell you if he will accept it, though
m-d_56	PIETRO VAN TEYLINGEN & CO	CHARLES MARESCOE	"PIETRO VAN TEYLINGEN & CO", "CHARLES MARESCOE"	7 DECEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; AGENT	UNK	1633	UNK	UNK	UNK	UNK		257	455	m-d_56.102_102	22.42	lord	lead on the William & Elizabeth, half for your account and half for your brother-in- law, Mr John Lethieullier, from whom we have received the bill of lading. May the	Lord	bring them in safety. We shall not fail to press for the highest price possible. Lead is now offered at D.50 on delivery and for prompt delivery at D.503, but
m-d_56	PIETRO VAN TEYLINGEN & CO	CHARLES MARESCOE	"PIETRO VAN TEYLINGEN & CO", "CHARLES MARESCOE"	7 DECEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; AGENT	UNK	1633	UNK	UNK	UNK	UNK		257	455	m-d_56.234_234	51.43	lord	such good business. The Lantsman, according to the latest letters, has not yet arrived at Leghorn—I mean, Ancona. Indeed, he delays too long and [---] must be taken. May the	Lord	protect him from mishap. Likewise with the Enropa, whose departure from Leghorn you will have seen in my last letter. As for the sale of lead, I cannot say if
m-d_57	JACOB MOMMA REENSTIERNA	CHARLES MARESCOE	"JACOB MOMMA REENSTIERNA", "CHARLES MARESCOE"	23 NOVEMBER 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1625	1633	TRUE	UNK	UNK	FALSE	8	258	771	m-d_57.32_32	4.15	god	wrote to you on the gth of October, from Hamburg. Since then I have arrived here in good health and have found all my people likewise well, praise be to	God	who protects us. I now find myself owing you an answer to your letters of the oth, 23rd and 30th of October—but that of the 16th, in which you sent
